ビデオシリアル番号,AI解析結果,確認者,確認者名,確認日時,承認者,承認者名,承認日時,日付,管轄拠点,拠点名,カメラ名,レビュー件数,タイムスタンプ1,コメント1,レビュー1,レビュー日時1,備考1,タイムスタンプ2,コメント2,レビュー2,レビュー日時2,備考2,タイムスタンプ3,コメント3,レビュー3,レビュー日時3,備考3,タイムスタンプ4,コメント4,レビュー4,レビュー日時4,備考4,タイムスタンプ5,コメント5,レビュー5,レビュー日時5,備考5,タイムスタンプ6,コメント6,レビュー6,レビュー日時6,備考6,タイムスタンプ7,コメント7,レビュー7,レビュー日時7,備考7,タイムスタンプ8,コメント8,レビュー8,レビュー日時8,備考8,タイムスタンプ9,コメント9,レビュー9,レビュー日時9,備考9,タイムスタンプ10,コメント10,レビュー10,レビュー日時10,備考10
1047749,NG,,,,,,,5/18/2026 15:50,関東支店,東京第２　メディカルロジスティクスセンター,●【首都圏第2】1F_入荷場3-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047746,NG,,,,,,,5/18/2026 15:50,,大阪第１　メディカルロジスティクスセンター（光陽商事内）,〇【大阪第1MLC】1F Bブロック_シートシャッター_API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047742,NG,,,,,,,5/18/2026 15:50,,大阪第１　メディカルロジスティクスセンター（光陽商事内）,〇【大阪第1MLC】4F Eブロック_EV_API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047738,NG,,,,,,,5/18/2026 15:50,,大阪第１　メディカルロジスティクスセンター（光陽商事内）,〇【大阪第1MLC】5F Bブロック_EV_API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047733,NG,,,,,,,5/18/2026 15:40,,大阪第１　メディカルロジスティクスセンター（光陽商事内）,〇【大阪第1MLC】1F Bブロック_シートシャッター_API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047732,NG,,,,,,,5/18/2026 15:40,関東支店,東京第２　メディカルロジスティクスセンター,●【首都圏第2】1F_入荷場3-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047731,NG,,,,,,,5/18/2026 15:40,関東支店,東京第２　メディカルロジスティクスセンター,●【首都圏第2】1F_冷所室2-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047727,NG,,,,,,,5/18/2026 15:40,静岡営業所,静岡第１　メディカルロジスティクスセンター（丸総清水内）,〇【丸総清水】バースカメラ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047718,NG,,,,,,,5/18/2026 15:40,関西支店,神戸第２　メディカルロジスティクスセンター（若松梱包内）,○【CPD】1階北1バース_OWHCNWC0026-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047715,NG,,,,,,,5/18/2026 15:40,関西支店,神戸第２　メディカルロジスティクスセンター（若松梱包内）,○【CPD】2階北1号EV・扉_OWHCNWC0032-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047714,NG,,,,,,,5/18/2026 15:40,北関東営業所,高崎第１　メディカルロジスティクスセンター（分地倉庫）,●【高崎第2】E棟カメラ1-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047710,NG,,,,,,,5/18/2026 15:40,関西支店,神戸第１　メディカルロジスティクスセンター,●【西日本LC】1Fプラットフォーム07-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047707,NG,,,,,,,5/18/2026 15:40,九州支店,佐賀第１　メディカルロジスティクスセンター,●【九州】92-6号倉庫-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047701,NG,,,,,,,5/18/2026 15:40,九州支店,佐賀第１　メディカルロジスティクスセンター,●【九州】92-2号倉庫-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047700,NG,,,,,,,5/18/2026 15:40,北関東営業所,高崎第１　メディカルロジスティクスセンター（分地倉庫）,●【高崎第2】E扉前-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047698,NG,,,,,,,5/18/2026 15:40,北関東営業所,高崎第１　メディカルロジスティクスセンター,●【東日本LC】Ｂ棟１階カメラ１-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047697,NG,,,,,,,5/18/2026 15:40,九州支店,佐賀第１　メディカルロジスティクスセンター,●【九州】102倉庫-事務所側-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047696,NG,,,,,,,5/18/2026 15:40,北関東営業所,高崎第１　メディカルロジスティクスセンター（分地倉庫）,●【高崎第2】D扉前-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047695,NG,,,,,,,5/18/2026 15:40,関西支店,神戸第１　メディカルロジスティクスセンター,●【西日本LC】1Fプラットフォーム05-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047694,NG,,,,,,,5/18/2026 15:40,関西支店,神戸第１　メディカルロジスティクスセンター,●【西日本LC】1Fプラットフォーム08-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047693,NG,,,,,,,5/18/2026 15:40,九州支店,佐賀第１　メディカルロジスティクスセンター,●【九州】92-1号倉庫-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047692,NG,,,,,,,5/18/2026 15:40,九州支店,佐賀第１　メディカルロジスティクスセンター,●【九州】92-4号倉庫-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047690,NG,,,,,,,5/18/2026 15:40,北関東営業所,高崎第１　メディカルロジスティクスセンター（分地倉庫）,●【高崎第2】B扉前-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047687,NG,,,,,,,5/18/2026 15:40,九州支店,佐賀第１　メディカルロジスティクスセンター,●【九州】92-3号倉庫-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047686,NG,,,,,,,5/18/2026 15:40,関東支店,東京第１　メディカルロジスティクスセンター,●【首都圏中央】1FD棟プラットフォーム02,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047685,NG,,,,,,,5/18/2026 15:40,関東支店,東京第１　メディカルロジスティクスセンター,●【首都圏中央】1FC棟プラットフォーム02,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047684,NG,,,,,,,5/18/2026 15:40,関東支店,東京第１　メディカルロジスティクスセンター,●【首都圏中央】1FC棟プラットフォーム01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047682,NG,,,,,,,5/18/2026 15:40,関西支店,岡山第１　メディカルロジスティクスセンター（MRC岡山内）,●【中国センター】倉庫内_1F-3-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047681,NG,,,,,,,5/18/2026 15:40,関東支店,東京第１　メディカルロジスティクスセンター,●【首都圏中央】1FD棟プラットフォーム01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047680,NG,,,,,,,5/18/2026 15:40,関西支店,岡山第１　メディカルロジスティクスセンター（MRC岡山内）,●【中国センター】1Fバース全体_奥のｴﾚﾍﾞｰﾀﾎｰﾙ‐API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047678,NG,,,,,,,5/18/2026 15:40,中部支店,名古屋第１　メディカルロジスティクスセンター,●【中部LC】不審者検知カメラ１-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047677,NG,,,,,,,5/18/2026 15:40,中部支店,名古屋第１　メディカルロジスティクスセンター,●【中部LC】不審者検知カメラ２-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047676,NG,,,,,,,5/18/2026 15:40,中部支店,名古屋第１　メディカルロジスティクスセンター,●【中部LC】不審者検知カメラ３-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047675,NG,,,,,,,5/18/2026 15:40,中部支店,名古屋第１　メディカルロジスティクスセンター,●【中部LC】不審者検知カメラ７-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047674,NG,,,,,,,5/18/2026 15:40,中部支店,名古屋第１　メディカルロジスティクスセンター,●【中部LC】不審者検知カメラ４-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047673,NG,,,,,,,5/18/2026 15:40,中部支店,名古屋第１　メディカルロジスティクスセンター,●【中部LC】不審者検知カメラ５-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047670,NG,,,,,,,5/18/2026 15:40,関東支店,東京第３　メディカルロジスティクスセンター,●【首都圏第3】南東側中央プラットフォーム-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047668,NG,,,,,,,5/18/2026 15:40,関東支店,東京第３　メディカルロジスティクスセンター,●【首都圏第3】南西側プラットフォーム中央-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047667,NG,,,,,,,5/18/2026 15:40,関東支店,東京第３　メディカルロジスティクスセンター,●【首都圏第3】南西側プラットフォーム-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047666,NG,,,,,,,5/18/2026 15:40,関東支店,東京第３　メディカルロジスティクスセンター,●【首都圏第3】南東側プラットフォーム-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047664,NG,,,,,,,5/18/2026 15:40,北関東営業所,高崎第１　メディカルロジスティクスセンター,●【東日本LC】 A棟1階カメラ3_API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047660,NG,,,,,,,5/18/2026 15:40,仙台営業所,仙台第１　メディカルロジスティクスセンター,●【仙台】南棟１F東シャッター_API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047659,NG,,,,,,,5/18/2026 15:40,北関東営業所,高崎第１　メディカルロジスティクスセンター,●【東日本LC】 A棟1階カメラ2_API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047655,NG,,,,,,,5/18/2026 15:40,関西支店,神戸第２　メディカルロジスティクスセンター（若松梱包内）,○【CPD】1階バース2_OWHCNWC0028-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047647,NG,,,,,,,5/18/2026 15:40,関東支店,東京第１　メディカルロジスティクスセンター,●【首都圏中央】1F D棟_毒向薬庫,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047642,NG,,,,,,,5/18/2026 15:40,中部支店,静岡第２　メディカルロジスティクスセンター（丸総牧之原内）,○【丸総牧之原】3エリア_北出入口-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047641,NG,,,,,,,5/18/2026 15:40,関東支店,東京第１　メディカルロジスティクスセンター,●【首都圏中央】1F D棟_荷捌き場,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047640,NG,,,,,,,5/18/2026 15:40,関東支店,東京第１　メディカルロジスティクスセンター,●【首都圏中央】1F C棟_荷捌き場,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047639,NG,,,,,,,5/18/2026 15:40,関東支店,東京第２　メディカルロジスティクスセンター,●【首都圏第2】1F_入荷場1-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047634,NG,,,,,,,5/18/2026 15:40,札幌営業所,札幌第１　メディカルロジスティクスセンター,●【札幌営業所】1F B棟_プラットフォーム1-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047631,NG,,,,,,,5/18/2026 15:40,札幌営業所,札幌第１　メディカルロジスティクスセンター,●【札幌営業所】1F B棟_プラットフォーム2-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047624,NG,,,,,,,5/18/2026 15:40,,大阪第１　メディカルロジスティクスセンター（光陽商事内）,〇【大阪第1MLC】4F Eブロック_EV_API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047623,NG,,,,,,,5/18/2026 15:40,,大阪第１　メディカルロジスティクスセンター（光陽商事内）,〇【大阪第1MLC】4F Bブロック_EV_API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047618,NG,,,,,,,5/18/2026 15:30,,大阪第１　メディカルロジスティクスセンター（光陽商事内）,〇【大阪第1MLC】3F Bブロック_EV_API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047613,NG,,,,,,,5/18/2026 15:30,,大阪第１　メディカルロジスティクスセンター（光陽商事内）,〇【大阪第1MLC】1F Bブロック_シートシャッター_API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047610,NG,,,,,,,5/18/2026 15:30,静岡営業所,静岡第１　メディカルロジスティクスセンター（丸総清水内）,〇【丸総清水】バースカメラ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047603,NG,,,,,,,5/18/2026 15:30,北関東営業所,高崎第２　メディカルロジスティクスセンター,○【伊勢崎】南側バースAPI1_OWHISKC0038,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047600,NG,,,,,,,5/18/2026 15:30,関西支店,神戸第２　メディカルロジスティクスセンター（若松梱包内）,○【CPD】1階北1バース_OWHCNWC0026-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047598,NG,,,,,,,5/18/2026 15:30,関西支店,神戸第２　メディカルロジスティクスセンター（若松梱包内）,○【CPD】2階北1号EV・扉_OWHCNWC0032-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047592,NG,,,,,,,5/18/2026 15:30,仙台営業所,仙台第１　メディカルロジスティクスセンター,●【仙台】南棟１F南出入口,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047590,NG,,,,,,,5/18/2026 15:30,関西支店,神戸第１　メディカルロジスティクスセンター,●【西日本LC】1Fプラットフォーム07-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047589,NG,,,,,,,5/18/2026 15:30,仙台営業所,仙台第１　メディカルロジスティクスセンター,●【仙台】南棟1F高層棚前シャッター,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047588,NG,,,,,,,5/18/2026 15:30,仙台営業所,仙台第１　メディカルロジスティクスセンター,●【仙台】北棟１F事務所側シャッター,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047585,NG,,,,,,,5/18/2026 15:30,九州支店,佐賀第１　メディカルロジスティクスセンター,●【九州】92-6号倉庫-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047584,NG,,,,,,,5/18/2026 15:30,北関東営業所,高崎第１　メディカルロジスティクスセンター（分地倉庫）,●【高崎第2】C扉前-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047583,NG,,,,,,,5/18/2026 15:30,九州支店,佐賀第１　メディカルロジスティクスセンター,●【九州】92-2号倉庫-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047582,NG,,,,,,,5/18/2026 15:30,北関東営業所,高崎第１　メディカルロジスティクスセンター（分地倉庫）,●【高崎第2】E扉前-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047581,NG,,,,,,,5/18/2026 15:30,関西支店,神戸第１　メディカルロジスティクスセンター,●【西日本LC】1Fプラットフォーム08-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047578,NG,,,,,,,5/18/2026 15:30,九州支店,佐賀第１　メディカルロジスティクスセンター,●【九州】92-1号倉庫-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047577,NG,,,,,,,5/18/2026 15:30,九州支店,佐賀第１　メディカルロジスティクスセンター,●【九州】102倉庫-事務所側-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047576,NG,,,,,,,5/18/2026 15:30,関西支店,神戸第１　メディカルロジスティクスセンター,●【西日本LC】1Fプラットフォーム06-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047574,NG,,,,,,,5/18/2026 15:30,関西支店,神戸第１　メディカルロジスティクスセンター,●【西日本LC】1Fプラットフォーム05-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047573,NG,,,,,,,5/18/2026 15:30,九州支店,佐賀第１　メディカルロジスティクスセンター,●【九州】92-4号倉庫-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047572,NG,,,,,,,5/18/2026 15:30,九州支店,佐賀第１　メディカルロジスティクスセンター,●【九州】92-3号倉庫-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047571,NG,,,,,,,5/18/2026 15:30,北関東営業所,高崎第１　メディカルロジスティクスセンター（分地倉庫）,●【高崎第2】B扉前-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047568,NG,,,,,,,5/18/2026 15:30,関東支店,東京第１　メディカルロジスティクスセンター,●【首都圏中央】1FD棟プラットフォーム02,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047567,NG,,,,,,,5/18/2026 15:30,関東支店,東京第１　メディカルロジスティクスセンター,●【首都圏中央】1FD棟プラットフォーム01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047565,NG,,,,,,,5/18/2026 15:30,関東支店,東京第１　メディカルロジスティクスセンター,●【首都圏中央】1FC棟プラットフォーム01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047560,NG,,,,,,,5/18/2026 15:30,中部支店,名古屋第１　メディカルロジスティクスセンター,●【中部LC】不審者検知カメラ１-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047559,NG,,,,,,,5/18/2026 15:30,中部支店,名古屋第１　メディカルロジスティクスセンター,●【中部LC】不審者検知カメラ４-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047558,NG,,,,,,,5/18/2026 15:30,中部支店,名古屋第１　メディカルロジスティクスセンター,●【中部LC】不審者検知カメラ２-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047556,NG,,,,,,,5/18/2026 15:30,中部支店,名古屋第１　メディカルロジスティクスセンター,●【中部LC】不審者検知カメラ３-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047554,NG,,,,,,,5/18/2026 15:30,中部支店,名古屋第１　メディカルロジスティクスセンター,●【中部LC】不審者検知カメラ５-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047551,NG,,,,,,,5/18/2026 15:30,関東支店,東京第３　メディカルロジスティクスセンター,●【首都圏第3】南西側プラットフォーム-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047550,NG,,,,,,,5/18/2026 15:30,関東支店,東京第３　メディカルロジスティクスセンター,●【首都圏第3】南東側中央プラットフォーム-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047549,NG,,,,,,,5/18/2026 15:30,関東支店,東京第３　メディカルロジスティクスセンター,●【首都圏第3】南東側プラットフォーム-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047548,NG,,,,,,,5/18/2026 15:30,関東支店,東京第３　メディカルロジスティクスセンター,●【首都圏第3】南西側プラットフォーム中央-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047545,NG,,,,,,,5/18/2026 15:30,関西支店,神戸第２　メディカルロジスティクスセンター（若松梱包内）,○【CPD】1階南1バース_OWHCNWC0029-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047542,NG,,,,,,,5/18/2026 15:30,北関東営業所,高崎第１　メディカルロジスティクスセンター,●【東日本LC】 A棟1階カメラ2_API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047541,NG,,,,,,,5/18/2026 15:30,関西支店,神戸第２　メディカルロジスティクスセンター（若松梱包内）,○【CPD】1階南EV・扉_OWHCNWC0030-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047540,NG,,,,,,,5/18/2026 15:30,関西支店,神戸第２　メディカルロジスティクスセンター（若松梱包内）,○【CPD】1階バース2_OWHCNWC0028-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047539,NG,,,,,,,5/18/2026 15:30,北関東営業所,高崎第１　メディカルロジスティクスセンター,●【東日本LC】 A棟1階カメラ3_API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047537,NG,,,,,,,5/18/2026 15:30,仙台営業所,仙台第１　メディカルロジスティクスセンター,●【仙台】南棟１F東シャッター_API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047536,NG,,,,,,,5/18/2026 15:30,仙台営業所,仙台第１　メディカルロジスティクスセンター,●【仙台】北棟１F西シャッター_API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047528,NG,,,,,,,5/18/2026 15:30,関東支店,東京第１　メディカルロジスティクスセンター,●【首都圏中央】1F D棟_毒向薬庫,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047527,NG,,,,,,,5/18/2026 15:30,関東支店,東京第１　メディカルロジスティクスセンター,●【首都圏中央】1F C棟_毒向薬庫,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047524,NG,,,,,,,5/18/2026 15:30,中部支店,静岡第２　メディカルロジスティクスセンター（丸総牧之原内）,○【丸総牧之原】3エリア_北出入口-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047523,NG,,,,,,,5/18/2026 15:30,関東支店,東京第１　メディカルロジスティクスセンター,●【首都圏中央】1F D棟_荷捌き場,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047522,NG,,,,,,,5/18/2026 15:30,関東支店,東京第１　メディカルロジスティクスセンター,●【首都圏中央】1F C棟_荷捌き場,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047517,NG,,,,,,,5/18/2026 15:30,関東支店,東京第２　メディカルロジスティクスセンター,●【首都圏第2】1F_冷所室2-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047516,NG,,,,,,,5/18/2026 15:30,関東支店,東京第２　メディカルロジスティクスセンター,●【首都圏第2】1F_入荷場2-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047515,NG,,,,,,,5/18/2026 15:30,関東支店,東京第２　メディカルロジスティクスセンター,●【首都圏第2】1F_入荷場3-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047514,NG,,,,,,,5/18/2026 15:30,札幌営業所,札幌第１　メディカルロジスティクスセンター,●【札幌営業所】1F B棟_プラットフォーム4-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047512,NG,,,,,,,5/18/2026 15:30,,大阪第１　メディカルロジスティクスセンター（光陽商事内）,〇【大阪第1MLC】4F Eブロック_出入口_API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047505,NG,,,,,,,5/18/2026 15:30,,大阪第１　メディカルロジスティクスセンター（光陽商事内）,〇【大阪第1MLC】1F Aブロック_シートシャッター_API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047504,NG,,,,,,,5/18/2026 15:30,,大阪第１　メディカルロジスティクスセンター（光陽商事内）,〇【大阪第1MLC】5F Bブロック_EV_API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047501,NG,,,,,,,5/18/2026 15:20,,大阪第１　メディカルロジスティクスセンター（光陽商事内）,〇【大阪第1MLC】1F Bブロック_シートシャッター_API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047499,NG,,,,,,,5/18/2026 15:20,,大阪第１　メディカルロジスティクスセンター（光陽商事内）,〇【大阪第1MLC】4F Eブロック_EV_API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
